customer_id,customer_name,region,segment,signup_date
1,Customer_1,East,Home Office,2022-06-09
2,Customer_2,West,Home Office,2021-09-18
3,Customer_3,North,Home Office,2020-08-29
4,Customer_4,East,Home Office,2021-10-02
5,Customer_5,East,Home Office,2020-07-09
6,Customer_6,West,Consumer,2020-10-16
7,Customer_7,North,Home Office,2023-01-17
8,Customer_8,North,Home Office,2021-10-31
9,Customer_9,East,Consumer,2022-02-07
10,Customer_10,South,Consumer,2020-09-02
11,Customer_11,East,Consumer,2022-01-23
12,Customer_12,East,Consumer,2021-06-10
13,Customer_13,East,Consumer,2022-11-16
14,Customer_14,East,Consumer,2023-12-15
15,Customer_15,West,Home Office,2023-01-19
16,Customer_16,North,Home Office,2021-04-10
17,Customer_17,West,Corporate,2022-04-25
18,Customer_18,West,Home Office,2020-11-28
19,Customer_19,West,Home Office,2023-10-31
20,Customer_20,East,Consumer,2022-11-01
21,Customer_21,South,Consumer,2023-02-21
22,Customer_22,North,Home Office,2022-06-10
23,Customer_23,South,Corporate,2023-08-12
24,Customer_24,West,Consumer,2024-02-09
25,Customer_25,West,Home Office,2022-06-02
26,Customer_26,South,Home Office,2020-10-18
27,Customer_27,South,Corporate,2021-07-03
28,Customer_28,South,Corporate,2024-02-03
29,Customer_29,West,Consumer,2023-12-22
30,Customer_30,West,Corporate,2020-02-26
31,Customer_31,North,Home Office,2022-04-17
32,Customer_32,North,Home Office,2023-10-15
33,Customer_33,West,Corporate,2021-12-08
34,Customer_34,South,Corporate,2020-07-23
35,Customer_35,South,Corporate,2021-03-08
36,Customer_36,North,Corporate,2021-07-29
37,Customer_37,West,Consumer,2023-06-03
38,Customer_38,North,Corporate,2021-06-29
39,Customer_39,North,Consumer,2023-01-18
40,Customer_40,East,Home Office,2020-10-23
41,Customer_41,East,Corporate,2024-01-22
42,Customer_42,East,Consumer,2022-05-26
43,Customer_43,South,Corporate,2021-03-14
44,Customer_44,West,Home Office,2021-06-19
45,Customer_45,West,Home Office,2021-07-21
46,Customer_46,West,Home Office,2023-06-06
47,Customer_47,West,Corporate,2021-02-09
48,Customer_48,East,Corporate,2022-11-21
49,Customer_49,South,Consumer,2021-05-29
50,Customer_50,South,Home Office,2020-03-28
51,Customer_51,East,Corporate,2020-11-23
52,Customer_52,South,Home Office,2024-02-04
53,Customer_53,East,Home Office,2022-11-06
54,Customer_54,West,Consumer,2021-05-09
55,Customer_55,East,Consumer,2021-09-29
56,Customer_56,West,Consumer,2023-08-12
57,Customer_57,West,Consumer,2020-01-16
58,Customer_58,North,Home Office,2021-04-29
59,Customer_59,East,Consumer,2020-12-28
60,Customer_60,North,Consumer,2021-11-21
61,Customer_61,East,Consumer,2023-07-19
62,Customer_62,East,Consumer,2020-07-28
63,Customer_63,North,Home Office,2023-02-06
64,Customer_64,North,Consumer,2023-10-25
65,Customer_65,East,Home Office,2021-07-06
66,Customer_66,South,Corporate,2022-03-30
67,Customer_67,West,Home Office,2020-04-04
68,Customer_68,North,Home Office,2020-06-27
69,Customer_69,West,Consumer,2021-06-18
70,Customer_70,South,Corporate,2021-07-30
71,Customer_71,South,Corporate,2020-04-13
72,Customer_72,South,Corporate,2023-01-06
73,Customer_73,North,Corporate,2022-12-12
74,Customer_74,South,Home Office,2021-03-29
75,Customer_75,North,Corporate,2020-04-08
76,Customer_76,South,Home Office,2023-03-05
77,Customer_77,West,Home Office,2023-12-14
78,Customer_78,West,Home Office,2021-10-17
79,Customer_79,East,Corporate,2023-02-08
80,Customer_80,West,Consumer,2020-03-13
81,Customer_81,East,Consumer,2021-05-15
82,Customer_82,West,Corporate,2023-11-20
83,Customer_83,North,Consumer,2020-06-01
84,Customer_84,West,Consumer,2022-07-31
85,Customer_85,East,Home Office,2021-09-12
86,Customer_86,East,Home Office,2023-12-27
87,Customer_87,South,Corporate,2023-08-28
88,Customer_88,North,Corporate,2020-07-02
89,Customer_89,West,Consumer,2023-05-03
90,Customer_90,South,Home Office,2021-05-03
91,Customer_91,West,Corporate,2020-04-27
92,Customer_92,West,Corporate,2022-02-01
93,Customer_93,South,Corporate,2023-07-26
94,Customer_94,South,Corporate,2020-12-05
95,Customer_95,South,Corporate,2023-01-19
96,Customer_96,South,Corporate,2023-06-14
97,Customer_97,South,Consumer,2021-12-05
98,Customer_98,West,Home Office,2021-04-09
99,Customer_99,South,Home Office,2023-05-30
100,Customer_100,North,Corporate,2022-07-31
101,Customer_101,East,Home Office,2022-06-12
102,Customer_102,South,Home Office,2022-12-19
103,Customer_103,South,Home Office,2021-11-05
104,Customer_104,West,Corporate,2021-04-11
105,Customer_105,South,Corporate,2021-04-01
106,Customer_106,South,Home Office,2022-11-24
107,Customer_107,South,Home Office,2020-10-25
108,Customer_108,West,Corporate,2023-07-12
109,Customer_109,South,Consumer,2021-02-25
110,Customer_110,East,Home Office,2021-03-07
111,Customer_111,West,Consumer,2023-03-27
112,Customer_112,East,Home Office,2021-02-18
113,Customer_113,West,Consumer,2024-02-03
114,Customer_114,South,Consumer,2020-12-16
115,Customer_115,East,Consumer,2023-12-01
116,Customer_116,West,Corporate,2023-06-06
117,Customer_117,North,Consumer,2021-12-20
118,Customer_118,South,Consumer,2023-12-22
119,Customer_119,West,Consumer,2022-11-24
120,Customer_120,North,Home Office,2023-09-08
121,Customer_121,West,Consumer,2023-08-31
122,Customer_122,North,Home Office,2021-11-20
123,Customer_123,South,Consumer,2020-08-08
124,Customer_124,East,Consumer,2020-11-25
125,Customer_125,North,Corporate,2021-08-03
126,Customer_126,West,Home Office,2023-06-11
127,Customer_127,South,Consumer,2021-02-21
128,Customer_128,North,Home Office,2022-10-15
129,Customer_129,West,Home Office,2021-10-02
130,Customer_130,West,Corporate,2020-05-07
131,Customer_131,West,Corporate,2020-01-09
132,Customer_132,North,Corporate,2020-11-01
133,Customer_133,North,Corporate,2020-03-28
134,Customer_134,North,Corporate,2023-03-24
135,Customer_135,East,Corporate,2021-08-28
136,Customer_136,North,Corporate,2020-05-03
137,Customer_137,North,Corporate,2022-05-25
138,Customer_138,North,Consumer,2023-11-25
139,Customer_139,East,Home Office,2023-09-03
140,Customer_140,North,Corporate,2023-01-17
141,Customer_141,West,Corporate,2023-05-29
142,Customer_142,North,Home Office,2022-06-14
143,Customer_143,West,Consumer,2023-07-07
144,Customer_144,West,Home Office,2020-10-20
145,Customer_145,West,Home Office,2020-05-09
146,Customer_146,East,Corporate,2022-01-03
147,Customer_147,East,Home Office,2020-08-06
148,Customer_148,East,Home Office,2022-06-17
149,Customer_149,North,Corporate,2021-05-21
150,Customer_150,West,Corporate,2020-01-08
151,Customer_151,East,Corporate,2024-01-16
152,Customer_152,East,Corporate,2023-09-06
153,Customer_153,North,Home Office,2023-07-15
154,Customer_154,East,Home Office,2021-05-13
155,Customer_155,North,Consumer,2020-07-10
156,Customer_156,South,Consumer,2021-05-05
157,Customer_157,East,Home Office,2023-01-26
158,Customer_158,South,Consumer,2023-05-13
159,Customer_159,North,Home Office,2021-06-08
160,Customer_160,West,Consumer,2023-05-31
161,Customer_161,East,Corporate,2020-06-29
162,Customer_162,North,Consumer,2021-12-25
163,Customer_163,West,Corporate,2022-01-12
164,Customer_164,West,Corporate,2021-03-16
165,Customer_165,South,Corporate,2024-02-03
166,Customer_166,North,Corporate,2021-09-01
167,Customer_167,West,Consumer,2021-01-27
168,Customer_168,East,Home Office,2023-03-06
169,Customer_169,East,Corporate,2022-06-06
170,Customer_170,South,Consumer,2020-11-26
171,Customer_171,West,Corporate,2021-08-24
172,Customer_172,North,Consumer,2022-09-30
173,Customer_173,East,Consumer,2023-07-15
174,Customer_174,West,Consumer,2021-03-10
